date,Ross Stores,isPartial
2013-06-13,69,False
2013-06-14,69,False
2013-06-15,83,False
2013-06-16,67,False
2013-06-17,62,False
2013-06-18,52,False
2013-06-19,53,False
2013-06-20,76,False
2013-06-21,71,False
2013-06-22,87,False
2013-06-23,66,False
2013-06-24,69,False
2013-06-25,54,False
2013-06-26,63,False
2013-06-27,71,False
2013-06-28,44,False
2013-06-29,55,False
2013-06-30,68,False
2013-07-01,68,False
2013-07-02,57,False
2013-07-03,61,False
2013-07-04,76,False
2013-07-05,71,False
2013-07-06,51,False
2013-07-07,79,False
2013-07-08,84,False
2013-07-09,46,False
2013-07-10,63,False
2013-07-11,72,False
2013-07-12,55,False
2013-07-13,94,False
2013-07-14,87,False
2013-07-15,68,False
2013-07-16,73,False
2013-07-17,54,False
2013-07-18,55,False
2013-07-19,82,False
2013-07-20,81,False
2013-07-21,71,False
2013-07-22,64,False
2013-07-23,51,False
2013-07-24,62,False
2013-07-25,73,False
2013-07-26,66,False
2013-07-27,62,False
2013-07-28,70,False
2013-07-29,71,False
2013-07-30,77,False
2013-07-31,73,False
2013-08-01,66,False
2013-08-02,55,False
2013-08-03,98,False
2013-08-04,98,False
2013-08-05,55,False
2013-08-06,43,False
2013-08-07,77,False
2013-08-08,60,False
2013-08-09,62,False
2013-08-10,93,False
2013-08-11,95,False
2013-08-12,87,False
2013-08-13,79,False
2013-08-14,61,False
2013-08-15,58,False
2013-08-16,56,False
2013-08-17,71,False
2013-08-18,100,False
2013-08-19,59,False
2013-08-20,67,False
2013-08-21,50,False
2013-08-22,54,False
2013-08-23,54,False
2013-08-24,78,False
2013-08-25,69,False
2013-08-26,39,False
2013-08-27,36,False
2013-08-28,59,False
2013-08-29,51,False
2013-08-30,41,False
2013-08-31,68,False
2013-09-01,73,False
2013-09-02,57,False
2013-09-03,40,False
2013-09-04,44,False
2013-09-05,37,False
2013-09-06,54,False
2013-09-07,72,False
2013-09-08,77,False
2013-09-09,47,False
2013-09-10,44,False
2013-09-11,53,False
2013-09-12,48,False
2013-09-13,48,False
2013-09-14,52,False
2013-09-15,38,False
2013-09-16,63,False
2013-09-17,59,False
2013-09-18,46,False
2013-09-19,44,False
2013-09-20,57,False
2013-09-21,44,False
2013-09-22,88,False
2013-09-23,41,False
2013-09-24,50,False
2013-09-25,41,False
2013-09-26,49,False
2013-09-27,75,False
2013-09-28,49,False
2013-09-29,66,False
2013-09-30,47,False
2013-10-01,42,False
2013-10-02,51,False
2013-10-03,40,False
2013-10-04,48,False
2013-10-05,60,False
2013-10-06,66,False
2013-10-07,47,False
2013-10-08,60,False
2013-10-09,48,False
2013-10-10,31,False
2013-10-11,71,False
2013-10-12,62,False
2013-10-13,80,False
2013-10-14,40,False
2013-10-15,72,False
2013-10-16,50,False
2013-10-17,65,False
2013-10-18,58,False
2013-10-19,51,False
2013-10-20,50,False
2013-10-21,52,False
2013-10-22,48,False
2013-10-23,71,False
2013-10-24,41,False
2013-10-25,44,False
2013-10-26,77,False
2013-10-27,72,False
2013-10-28,46,False
2013-10-29,53,False
2013-10-30,59,False
2013-10-31,36,False
2013-11-01,53,False
2013-11-02,49,False
2013-11-03,90,False
2013-11-04,47,False
2013-11-05,46,False
2013-11-06,57,False
