date,bankruptcy,isPartial
2013-12-27,19,False
2013-12-28,13,False
2013-12-29,13,False
2013-12-30,24,False
2013-12-31,22,False
2014-01-01,13,False
2014-01-02,23,False
2014-01-03,26,False
2014-01-04,14,False
2014-01-05,14,False
2014-01-06,26,False
2014-01-07,26,False
2014-01-08,26,False
2014-01-09,27,False
2014-01-10,26,False
2014-01-11,14,False
2014-01-12,15,False
2014-01-13,28,False
2014-01-14,29,False
2014-01-15,28,False
2014-01-16,31,False
2014-01-17,26,False
2014-01-18,19,False
2014-01-19,14,False
2014-01-20,23,False
2014-01-21,27,False
2014-01-22,28,False
2014-01-23,33,False
2014-01-24,28,False
2014-01-25,14,False
2014-01-26,17,False
2014-01-27,27,False
2014-01-28,28,False
2014-01-29,29,False
2014-01-30,28,False
2014-01-31,26,False
2014-02-01,16,False
2014-02-02,17,False
2014-02-03,28,False
2014-02-04,28,False
2014-02-05,27,False
2014-02-06,23,False
2014-02-07,24,False
2014-02-08,15,False
2014-02-09,14,False
2014-02-10,26,False
2014-02-11,29,False
2014-02-12,26,False
2014-02-13,28,False
2014-02-14,27,False
2014-02-15,14,False
2014-02-16,16,False
2014-02-17,21,False
2014-02-18,27,False
2014-02-19,29,False
2014-02-20,29,False
2014-02-21,27,False
2014-02-22,18,False
2014-02-23,16,False
2014-02-24,27,False
2014-02-25,29,False
2014-02-26,28,False
2014-02-27,30,False
2014-02-28,28,False
2014-03-01,17,False
2014-03-02,13,False
2014-03-03,26,False
2014-03-04,29,False
2014-03-05,31,False
2014-03-06,29,False
2014-03-07,25,False
2014-03-08,13,False
2014-03-09,14,False
2014-03-10,28,False
2014-03-11,28,False
2014-03-12,29,False
2014-03-13,29,False
2014-03-14,27,False
2014-03-15,16,False
2014-03-16,16,False
