date,Fiserv,isPartial
2012-10-12,37,False
2012-10-13,11,False
2012-10-14,11,False
2012-10-15,25,False
2012-10-16,44,False
2012-10-17,32,False
2012-10-18,21,False
2012-10-19,39,False
2012-10-20,9,False
2012-10-21,11,False
2012-10-22,41,False
2012-10-23,37,False
2012-10-24,21,False
2012-10-25,36,False
2012-10-26,25,False
2012-10-27,11,False
2012-10-28,14,False
2012-10-29,25,False
2012-10-30,29,False
2012-10-31,45,False
2012-11-01,32,False
2012-11-02,33,False
2012-11-03,17,False
2012-11-04,8,False
2012-11-05,32,False
2012-11-06,39,False
2012-11-07,20,False
2012-11-08,37,False
2012-11-09,49,False
2012-11-10,14,False
2012-11-11,8,False
2012-11-12,32,False
2012-11-13,19,False
2012-11-14,42,False
2012-11-15,42,False
2012-11-16,29,False
2012-11-17,11,False
2012-11-18,8,False
2012-11-19,36,False
2012-11-20,37,False
2012-11-21,21,False
2012-11-22,14,False
2012-11-23,24,False
2012-11-24,19,False
2012-11-25,11,False
2012-11-26,36,False
2012-11-27,22,False
2012-11-28,61,False
2012-11-29,36,False
2012-11-30,38,False
2012-12-01,19,False
2012-12-02,16,False
2012-12-03,24,False
2012-12-04,31,False
2012-12-05,38,False
2012-12-06,42,False
2012-12-07,14,False
2012-12-08,19,False
2012-12-09,3,False
2012-12-10,31,False
2012-12-11,40,False
2012-12-12,36,False
2012-12-13,28,False
2012-12-14,17,False
2012-12-15,19,False
2012-12-16,8,False
2012-12-17,25,False
2012-12-18,41,False
2012-12-19,40,False
2012-12-20,21,False
2012-12-21,37,False
2012-12-22,6,False
2012-12-23,14,False
2012-12-24,20,False
2012-12-25,18,False
2012-12-26,18,False
2012-12-27,29,False
2012-12-28,25,False
2012-12-29,22,False
2012-12-30,14,False
2012-12-31,22,False
2013-01-01,15,False
2013-01-02,33,False
2013-01-03,34,False
2013-01-04,40,False
2013-01-05,29,False
2013-01-06,18,False
2013-01-07,38,False
2013-01-08,30,False
2013-01-09,40,False
2013-01-10,28,False
2013-01-11,29,False
2013-01-12,5,False
2013-01-13,10,False
2013-01-14,64,False
2013-01-15,62,False
2013-01-16,62,False
2013-01-17,68,False
2013-01-18,41,False
2013-01-19,20,False
2013-01-20,18,False
2013-01-21,53,False
2013-01-22,57,False
2013-01-23,37,False
2013-01-24,44,False
2013-01-25,53,False
2013-01-26,10,False
2013-01-27,25,False
2013-01-28,27,False
2013-01-29,40,False
2013-01-30,29,False
2013-01-31,43,False
2013-02-01,25,False
2013-02-02,20,False
2013-02-03,5,False
2013-02-04,36,False
2013-02-05,47,False
2013-02-06,43,False
2013-02-07,49,False
2013-02-08,27,False
2013-02-09,13,False
2013-02-10,5,False
2013-02-11,44,False
2013-02-12,100,False
2013-02-13,64,False
2013-02-14,54,False
2013-02-15,25,False
2013-02-16,15,False
2013-02-17,22,False
2013-02-18,32,False
2013-02-19,36,False
