date,Mondelez,isPartial
2016-11-12,12,False
2016-11-13,12,False
2016-11-14,20,False
2016-11-15,25,False
2016-11-16,22,False
2016-11-17,25,False
2016-11-18,23,False
2016-11-19,11,False
2016-11-20,13,False
2016-11-21,20,False
2016-11-22,22,False
2016-11-23,21,False
2016-11-24,17,False
2016-11-25,12,False
2016-11-26,8,False
2016-11-27,11,False
2016-11-28,19,False
2016-11-29,19,False
2016-11-30,22,False
2016-12-01,25,False
2016-12-02,18,False
2016-12-03,11,False
2016-12-04,13,False
2016-12-05,20,False
2016-12-06,21,False
2016-12-07,23,False
2016-12-08,20,False
2016-12-09,18,False
2016-12-10,8,False
2016-12-11,9,False
2016-12-12,16,False
2016-12-13,20,False
2016-12-14,22,False
2016-12-15,31,False
2016-12-16,17,False
2016-12-17,12,False
2016-12-18,8,False
2016-12-19,19,False
2016-12-20,19,False
2016-12-21,18,False
2016-12-22,14,False
2016-12-23,12,False
2016-12-24,7,False
2016-12-25,8,False
2016-12-26,9,False
2016-12-27,14,False
2016-12-28,15,False
2016-12-29,12,False
2016-12-30,12,False
2016-12-31,6,False
2017-01-01,11,False
2017-01-02,9,False
2017-01-03,20,False
2017-01-04,21,False
2017-01-05,16,False
2017-01-06,18,False
2017-01-07,11,False
2017-01-08,11,False
2017-01-09,18,False
2017-01-10,21,False
2017-01-11,16,False
2017-01-12,18,False
2017-01-13,16,False
2017-01-14,8,False
2017-01-15,7,False
2017-01-16,20,False
2017-01-17,20,False
2017-01-18,18,False
2017-01-19,25,False
