date,Hasbro,isPartial
2013-11-18,57,False
2013-11-19,46,False
2013-11-20,51,False
2013-11-21,51,False
2013-11-22,58,False
2013-11-23,76,False
2013-11-24,76,False
2013-11-25,71,False
2013-11-26,60,False
2013-11-27,65,False
2013-11-28,72,False
2013-11-29,66,False
2013-11-30,83,False
2013-12-01,76,False
2013-12-02,83,False
2013-12-03,70,False
2013-12-04,80,False
2013-12-05,64,False
2013-12-06,64,False
2013-12-07,80,False
2013-12-08,84,False
2013-12-09,84,False
2013-12-10,83,False
2013-12-11,72,False
2013-12-12,81,False
2013-12-13,71,False
2013-12-14,82,False
2013-12-15,75,False
2013-12-16,82,False
2013-12-17,86,False
2013-12-18,74,False
2013-12-19,62,False
2013-12-20,72,False
2013-12-21,66,False
2013-12-22,69,False
2013-12-23,77,False
2013-12-24,61,False
2013-12-25,100,False
2013-12-26,91,False
2013-12-27,85,False
2013-12-28,58,False
2013-12-29,72,False
2013-12-30,65,False
2013-12-31,56,False
2014-01-01,48,False
2014-01-02,50,False
2014-01-03,57,False
2014-01-04,53,False
2014-01-05,58,False
2014-01-06,45,False
2014-01-07,37,False
2014-01-08,48,False
2014-01-09,40,False
2014-01-10,40,False
2014-01-11,42,False
2014-01-12,44,False
2014-01-13,40,False
2014-01-14,47,False
2014-01-15,39,False
2014-01-16,37,False
2014-01-17,44,False
2014-01-18,40,False
2014-01-19,46,False
2014-01-20,38,False
2014-01-21,36,False
2014-01-22,31,False
2014-01-23,31,False
2014-01-24,36,False
2014-01-25,40,False
2014-01-26,36,False
2014-01-27,48,False
2014-01-28,28,False
2014-01-29,36,False
2014-01-30,33,False
2014-01-31,37,False
2014-02-01,41,False
2014-02-02,45,False
2014-02-03,35,False
2014-02-04,39,False
2014-02-05,40,False
2014-02-06,34,False
2014-02-07,38,False
2014-02-08,42,False
2014-02-09,42,False
2014-02-10,40,False
2014-02-11,32,False
2014-02-12,35,False
2014-02-13,28,False
2014-02-14,31,False
2014-02-15,41,False
2014-02-16,36,False
2014-02-17,39,False
2014-02-18,34,False
2014-02-19,32,False
2014-02-20,35,False
2014-02-21,33,False
2014-02-22,33,False
2014-02-23,40,False
2014-02-24,34,False
2014-02-25,28,False
2014-02-26,36,False
2014-02-27,38,False
2014-02-28,38,False
2014-03-01,36,False
2014-03-02,36,False
2014-03-03,35,False
2014-03-04,30,False
2014-03-05,37,False
2014-03-06,31,False
2014-03-07,33,False
2014-03-08,31,False
2014-03-09,39,False
2014-03-10,31,False
2014-03-11,34,False
2014-03-12,26,False
2014-03-13,27,False
2014-03-14,31,False
2014-03-15,39,False
2014-03-16,37,False
