date,MercadoLibre,isPartial
2011-09-28,66,False
2011-09-29,61,False
2011-09-30,61,False
2011-10-01,64,False
2011-10-02,61,False
2011-10-03,63,False
2011-10-04,66,False
2011-10-05,61,False
2011-10-06,64,False
2011-10-07,65,False
2011-10-08,67,False
2011-10-09,59,False
2011-10-10,60,False
2011-10-11,66,False
2011-10-12,60,False
2011-10-13,66,False
2011-10-14,59,False
2011-10-15,59,False
2011-10-16,57,False
2011-10-17,67,False
2011-10-18,75,False
2011-10-19,72,False
2011-10-20,73,False
2011-10-21,71,False
2011-10-22,74,False
2011-10-23,69,False
2011-10-24,72,False
2011-10-25,77,False
2011-10-26,78,False
2011-10-27,76,False
2011-10-28,78,False
2011-10-29,76,False
2011-10-30,68,False
2011-10-31,75,False
2011-11-01,81,False
2011-11-02,73,False
2011-11-03,74,False
2011-11-04,77,False
2011-11-05,74,False
2011-11-06,69,False
2011-11-07,79,False
2011-11-08,81,False
2011-11-09,77,False
2011-11-10,78,False
2011-11-11,80,False
2011-11-12,82,False
2011-11-13,74,False
2011-11-14,77,False
2011-11-15,78,False
2011-11-16,77,False
2011-11-17,81,False
2011-11-18,82,False
2011-11-19,89,False
2011-11-20,79,False
2011-11-21,85,False
2011-11-22,91,False
2011-11-23,90,False
2011-11-24,93,False
2011-11-25,89,False
2011-11-26,87,False
2011-11-27,78,False
2011-11-28,83,False
2011-11-29,90,False
2011-11-30,89,False
2011-12-01,91,False
2011-12-02,88,False
2011-12-03,87,False
2011-12-04,80,False
2011-12-05,89,False
2011-12-06,93,False
2011-12-07,89,False
2011-12-08,83,False
2011-12-09,83,False
2011-12-10,87,False
2011-12-11,83,False
2011-12-12,91,False
2011-12-13,93,False
2011-12-14,95,False
2011-12-15,93,False
2011-12-16,93,False
2011-12-17,90,False
2011-12-18,84,False
2011-12-19,93,False
2011-12-20,98,False
2011-12-21,96,False
2011-12-22,93,False
2011-12-23,94,False
2011-12-24,83,False
2011-12-25,65,False
2011-12-26,100,False
2011-12-27,99,False
2011-12-28,96,False
2011-12-29,92,False
2011-12-30,85,False
2011-12-31,78,False
2012-01-01,54,False
2012-01-02,85,False
2012-01-03,88,False
2012-01-04,90,False
2012-01-05,86,False
2012-01-06,87,False
2012-01-07,85,False
2012-01-08,73,False
2012-01-09,79,False
2012-01-10,85,False
2012-01-11,91,False
2012-01-12,90,False
2012-01-13,89,False
2012-01-14,85,False
2012-01-15,77,False
2012-01-16,86,False
2012-01-17,90,False
2012-01-18,92,False
2012-01-19,96,False
2012-01-20,87,False
2012-01-21,89,False
2012-01-22,81,False
2012-01-23,88,False
2012-01-24,94,False
2012-01-25,87,False
2012-01-26,86,False
