date,Regeneron,isPartial
2012-07-25,48,False
2012-07-26,55,False
2012-07-27,32,False
2012-07-28,8,False
2012-07-29,8,False
2012-07-30,27,False
2012-07-31,34,False
2012-08-01,40,False
2012-08-02,21,False
2012-08-03,36,False
2012-08-04,21,False
2012-08-05,12,False
2012-08-06,27,False
2012-08-07,20,False
2012-08-08,24,False
2012-08-09,34,False
2012-08-10,22,False
2012-08-11,8,False
2012-08-12,8,False
2012-08-13,51,False
2012-08-14,44,False
2012-08-15,39,False
2012-08-16,34,False
2012-08-17,40,False
2012-08-18,9,False
2012-08-19,30,False
2012-08-20,34,False
2012-08-21,24,False
2012-08-22,47,False
2012-08-23,24,False
2012-08-24,25,False
2012-08-25,25,False
2012-08-26,20,False
2012-08-27,20,False
2012-08-28,39,False
2012-08-29,20,False
2012-08-30,23,False
2012-08-31,21,False
2012-09-01,16,False
2012-09-02,20,False
2012-09-03,7,False
2012-09-04,29,False
2012-09-05,33,False
2012-09-06,50,False
2012-09-07,42,False
2012-09-08,16,False
2012-09-09,16,False
2012-09-10,19,False
2012-09-11,29,False
2012-09-12,35,False
2012-09-13,29,False
2012-09-14,30,False
2012-09-15,12,False
2012-09-16,8,False
2012-09-17,22,False
2012-09-18,16,False
2012-09-19,23,False
2012-09-20,23,False
2012-09-21,44,False
2012-09-22,19,False
2012-09-23,19,False
2012-09-24,47,False
2012-09-25,47,False
2012-09-26,45,False
2012-09-27,35,False
2012-09-28,17,False
2012-09-29,19,False
2012-09-30,15,False
2012-10-01,38,False
2012-10-02,38,False
2012-10-03,29,False
2012-10-04,44,False
2012-10-05,29,False
2012-10-06,34,False
2012-10-07,11,False
2012-10-08,49,False
2012-10-09,21,False
2012-10-10,28,False
2012-10-11,16,False
2012-10-12,26,False
