date,Alexion,isPartial
2012-04-26,7,False
2012-04-27,27,False
2012-04-28,0,False
2012-04-29,40,False
2012-04-30,61,False
2012-05-01,50,False
2012-05-02,26,False
2012-05-03,0,False
2012-05-04,14,False
2012-05-05,31,False
2012-05-06,8,False
2012-05-07,25,False
2012-05-08,19,False
2012-05-09,44,False
2012-05-10,19,False
2012-05-11,27,False
2012-05-12,8,False
2012-05-13,0,False
2012-05-14,19,False
2012-05-15,62,False
2012-05-16,6,False
2012-05-17,39,False
2012-05-18,27,False
2012-05-19,8,False
2012-05-20,0,False
2012-05-21,13,False
2012-05-22,32,False
2012-05-23,13,False
2012-05-24,20,False
2012-05-25,27,False
2012-05-26,8,False
2012-05-27,8,False
2012-05-28,27,False
2012-05-29,43,False
2012-05-30,0,False
2012-05-31,19,False
2012-06-01,27,False
2012-06-02,0,False
2012-06-03,0,False
2012-06-04,13,False
2012-06-05,50,False
2012-06-06,19,False
2012-06-07,13,False
2012-06-08,20,False
2012-06-09,16,False
2012-06-10,16,False
2012-06-11,6,False
2012-06-12,37,False
2012-06-13,19,False
2012-06-14,19,False
2012-06-15,81,False
2012-06-16,8,False
2012-06-17,8,False
2012-06-18,57,False
2012-06-19,100,False
2012-06-20,45,False
2012-06-21,63,False
2012-06-22,34,False
2012-06-23,24,False
2012-06-24,8,False
2012-06-25,31,False
2012-06-26,19,False
2012-06-27,32,False
2012-06-28,13,False
2012-06-29,7,False
2012-06-30,0,False
2012-07-01,8,False
2012-07-02,32,False
2012-07-03,32,False
2012-07-04,40,False
2012-07-05,40,False
2012-07-06,7,False
2012-07-07,24,False
2012-07-08,8,False
2012-07-09,38,False
2012-07-10,19,False
2012-07-11,26,False
2012-07-12,33,False
2012-07-13,14,False
2012-07-14,16,False
2012-07-15,8,False
2012-07-16,32,False
2012-07-17,32,False
2012-07-18,0,False
2012-07-19,20,False
2012-07-20,27,False
2012-07-21,0,False
2012-07-22,0,False
2012-07-23,32,False
2012-07-24,19,False
2012-07-25,26,False
2012-07-26,39,False
2012-07-27,7,False
2012-07-28,8,False
2012-07-29,16,False
2012-07-30,45,False
2012-07-31,57,False
2012-08-01,52,False
2012-08-02,26,False
2012-08-03,27,False
2012-08-04,24,False
2012-08-05,32,False
2012-08-06,52,False
2012-08-07,26,False
2012-08-08,39,False
2012-08-09,26,False
2012-08-10,28,False
2012-08-11,32,False
2012-08-12,8,False
2012-08-13,52,False
2012-08-14,6,False
2012-08-15,27,False
2012-08-16,20,False
2012-08-17,34,False
2012-08-18,8,False
2012-08-19,25,False
2012-08-20,33,False
2012-08-21,26,False
2012-08-22,26,False
2012-08-23,33,False
2012-08-24,7,False
2012-08-25,16,False
2012-08-26,0,False
2012-08-27,19,False
2012-08-28,12,False
2012-08-29,19,False
2012-08-30,38,False
2012-08-31,13,False
2012-09-01,39,False
2012-09-02,15,False
2012-09-03,13,False
2012-09-04,31,False
2012-09-05,69,False
2012-09-06,75,False
2012-09-07,73,False
2012-09-08,38,False
2012-09-09,30,False
2012-09-10,12,False
2012-09-11,43,False
2012-09-12,67,False
2012-09-13,31,False
2012-09-14,45,False
2012-09-15,23,False
2012-09-16,7,False
2012-09-17,49,False
2012-09-18,30,False
2012-09-19,37,False
2012-09-20,56,False
2012-09-21,19,False
2012-09-22,30,False
2012-09-23,7,False
2012-09-24,36,False
2012-09-25,48,False
2012-09-26,43,False
2012-09-27,25,False
2012-09-28,32,False
2012-09-29,0,False
2012-09-30,0,False
2012-10-01,24,False
2012-10-02,18,False
2012-10-03,37,False
2012-10-04,36,False
2012-10-05,25,False
2012-10-06,15,False
2012-10-07,35,False
2012-10-08,41,False
2012-10-09,47,False
2012-10-10,30,False
2012-10-11,35,False
2012-10-12,38,False
