date,Costco,isPartial
2012-12-16,82,False
2012-12-17,65,False
2012-12-18,67,False
2012-12-19,63,False
2012-12-20,65,False
2012-12-21,68,False
2012-12-22,89,False
2012-12-23,100,False
2012-12-24,95,False
2012-12-25,49,False
2012-12-26,71,False
2012-12-27,64,False
2012-12-28,66,False
2012-12-29,70,False
2012-12-30,77,False
2012-12-31,83,False
2013-01-01,73,False
2013-01-02,57,False
2013-01-03,55,False
2013-01-04,56,False
2013-01-05,69,False
2013-01-06,71,False
2013-01-07,51,False
2013-01-08,48,False
2013-01-09,46,False
2013-01-10,46,False
2013-01-11,48,False
2013-01-12,61,False
2013-01-13,63,False
2013-01-14,45,False
2013-01-15,46,False
2013-01-16,43,False
2013-01-17,43,False
2013-01-18,47,False
2013-01-19,58,False
2013-01-20,64,False
2013-01-21,55,False
2013-01-22,44,False
2013-01-23,42,False
2013-01-24,43,False
2013-01-25,46,False
2013-01-26,65,False
2013-01-27,64,False
2013-01-28,46,False
2013-01-29,44,False
2013-01-30,44,False
2013-01-31,43,False
2013-02-01,46,False
2013-02-02,61,False
2013-02-03,63,False
2013-02-04,43,False
2013-02-05,42,False
2013-02-06,41,False
2013-02-07,40,False
2013-02-08,45,False
2013-02-09,61,False
2013-02-10,64,False
2013-02-11,45,False
2013-02-12,45,False
2013-02-13,42,False
2013-02-14,42,False
2013-02-15,46,False
2013-02-16,60,False
2013-02-17,63,False
2013-02-18,60,False
2013-02-19,45,False
