date,Amgen,isPartial
2015-03-02,25,False
2015-03-03,23,False
2015-03-04,26,False
2015-03-05,18,False
2015-03-06,22,False
2015-03-07,16,False
2015-03-08,11,False
2015-03-09,24,False
2015-03-10,28,False
2015-03-11,29,False
2015-03-12,27,False
2015-03-13,27,False
2015-03-14,7,False
2015-03-15,13,False
2015-03-16,33,False
2015-03-17,25,False
2015-03-18,25,False
2015-03-19,22,False
2015-03-20,17,False
2015-03-21,14,False
2015-03-22,7,False
2015-03-23,22,False
2015-03-24,24,False
2015-03-25,19,False
2015-03-26,19,False
2015-03-27,22,False
2015-03-28,10,False
2015-03-29,9,False
2015-03-30,27,False
2015-03-31,26,False
2015-04-01,22,False
2015-04-02,36,False
2015-04-03,23,False
2015-04-04,12,False
2015-04-05,9,False
2015-04-06,29,False
2015-04-07,23,False
2015-04-08,25,False
2015-04-09,21,False
2015-04-10,18,False
2015-04-11,9,False
2015-04-12,11,False
2015-04-13,22,False
2015-04-14,27,False
2015-04-15,27,False
2015-04-16,25,False
2015-04-17,24,False
2015-04-18,9,False
2015-04-19,14,False
2015-04-20,24,False
2015-04-21,28,False
2015-04-22,28,False
2015-04-23,35,False
2015-04-24,23,False
2015-04-25,9,False
2015-04-26,12,False
2015-04-27,25,False
2015-04-28,31,False
2015-04-29,28,False
2015-04-30,27,False
2015-05-01,25,False
2015-05-02,12,False
2015-05-03,14,False
2015-05-04,34,False
2015-05-05,27,False
2015-05-06,41,False
2015-05-07,35,False
2015-05-08,49,False
2015-05-09,48,False
2015-05-10,72,False
2015-05-11,100,False
2015-05-12,61,False
2015-05-13,75,False
2015-05-14,72,False
2015-05-15,59,False
2015-05-16,56,False
2015-05-17,68,False
2015-05-18,41,False
2015-05-19,23,False
2015-05-20,28,False
2015-05-21,24,False
2015-05-22,22,False
2015-05-23,14,False
2015-05-24,7,False
2015-05-25,14,False
2015-05-26,20,False
2015-05-27,27,False
2015-05-28,23,False
2015-05-29,17,False
2015-05-30,13,False
2015-05-31,9,False
2015-06-01,14,False
2015-06-02,17,False
2015-06-03,21,False
2015-06-04,19,False
2015-06-05,16,False
2015-06-06,12,False
2015-06-07,9,False
2015-06-08,19,False
2015-06-09,21,False
2015-06-10,25,False
2015-06-11,29,False
2015-06-12,22,False
2015-06-13,8,False
2015-06-14,9,False
2015-06-15,19,False
2015-06-16,13,False
2015-06-17,23,False
2015-06-18,18,False
2015-06-19,21,False
2015-06-20,14,False
2015-06-21,8,False
2015-06-22,18,False
2015-06-23,18,False
2015-06-24,19,False
2015-06-25,19,False
2015-06-26,22,False
2015-06-27,7,False
2015-06-28,9,False
2015-06-29,20,False
2015-06-30,20,False
2015-07-01,18,False
2015-07-02,24,False
2015-07-03,12,False
2015-07-04,11,False
2015-07-05,10,False
2015-07-06,12,False
2015-07-07,22,False
2015-07-08,18,False
2015-07-09,20,False
2015-07-10,19,False
2015-07-11,18,False
2015-07-12,6,False
2015-07-13,25,False
2015-07-14,22,False
2015-07-15,21,False
2015-07-16,24,False
2015-07-17,16,False
2015-07-18,7,False
2015-07-19,11,False
2015-07-20,20,False
2015-07-21,26,False
2015-07-22,35,False
2015-07-23,26,False
2015-07-24,22,False
2015-07-25,14,False
2015-07-26,13,False
2015-07-27,20,False
2015-07-28,36,False
2015-07-29,29,False
2015-07-30,37,False
2015-07-31,30,False
2015-08-01,9,False
2015-08-02,14,False
2015-08-03,28,False
2015-08-04,26,False
2015-08-05,25,False
2015-08-06,19,False
2015-08-07,22,False
2015-08-08,7,False
2015-08-09,10,False
2015-08-10,28,False
2015-08-11,23,False
2015-08-12,18,False
2015-08-13,30,False
2015-08-14,14,False
2015-08-15,13,False
2015-08-16,6,False
2015-08-17,23,False
2015-08-18,27,False
