date,Monster Beverage,isPartial
2013-07-06,0,False
2013-07-07,0,False
2013-07-08,71,False
2013-07-09,0,False
2013-07-10,15,False
2013-07-11,0,False
2013-07-12,15,False
2013-07-13,0,False
2013-07-14,0,False
2013-07-15,29,False
2013-07-16,14,False
2013-07-17,0,False
2013-07-18,15,False
2013-07-19,15,False
2013-07-20,0,False
2013-07-21,0,False
2013-07-22,28,False
2013-07-23,0,False
2013-07-24,29,False
2013-07-25,58,False
2013-07-26,0,False
2013-07-27,18,False
2013-07-28,17,False
2013-07-29,14,False
2013-07-30,14,False
2013-07-31,43,False
2013-08-01,29,False
2013-08-02,0,False
2013-08-03,18,False
2013-08-04,0,False
2013-08-05,0,False
2013-08-06,29,False
2013-08-07,15,False
2013-08-08,45,False
2013-08-09,15,False
2013-08-10,35,False
2013-08-11,0,False
2013-08-12,29,False
2013-08-13,0,False
2013-08-14,14,False
2013-08-15,0,False
2013-08-16,15,False
2013-08-17,0,False
2013-08-18,17,False
2013-08-19,28,False
2013-08-20,28,False
2013-08-21,0,False
2013-08-22,14,False
2013-08-23,0,False
2013-08-24,34,False
2013-08-25,0,False
2013-08-26,27,False
2013-08-27,41,False
2013-08-28,28,False
2013-08-29,0,False
2013-08-30,14,False
2013-08-31,0,False
2013-09-01,0,False
2013-09-02,0,False
2013-09-03,14,False
2013-09-04,69,False
2013-09-05,14,False
2013-09-06,14,False
2013-09-07,0,False
2013-09-08,16,False
2013-09-09,14,False
2013-09-10,0,False
2013-09-11,0,False
2013-09-12,0,False
2013-09-13,42,False
2013-09-14,0,False
2013-09-15,16,False
2013-09-16,27,False
2013-09-17,13,False
2013-09-18,27,False
2013-09-19,13,False
2013-09-20,14,False
2013-09-21,0,False
2013-09-22,16,False
2013-09-23,0,False
2013-09-24,40,False
2013-09-25,0,False
2013-09-26,28,False
2013-09-27,0,False
2013-09-28,0,False
2013-09-29,0,False
2013-09-30,13,False
2013-10-01,13,False
2013-10-02,14,False
2013-10-03,14,False
2013-10-04,0,False
2013-10-05,0,False
2013-10-06,16,False
2013-10-07,40,False
2013-10-08,40,False
2013-10-09,0,False
2013-10-10,41,False
2013-10-11,14,False
2013-10-12,0,False
2013-10-13,0,False
2013-10-14,14,False
2013-10-15,40,False
2013-10-16,27,False
2013-10-17,14,False
2013-10-18,42,False
2013-10-19,16,False
2013-10-20,16,False
2013-10-21,13,False
2013-10-22,39,False
2013-10-23,53,False
2013-10-24,27,False
2013-10-25,28,False
2013-10-26,0,False
2013-10-27,0,False
2013-10-28,0,False
2013-10-29,13,False
2013-10-30,26,False
2013-10-31,41,False
2013-11-01,0,False
2013-11-02,0,False
2013-11-03,46,False
2013-11-04,0,False
2013-11-05,13,False
2013-11-06,13,False
