date,Symantec,isPartial
2011-02-05,45,False
2011-02-06,42,False
2011-02-07,69,False
2011-02-08,75,False
2011-02-09,62,False
2011-02-10,67,False
2011-02-11,53,False
2011-02-12,48,False
2011-02-13,37,False
2011-02-14,64,False
2011-02-15,69,False
2011-02-16,65,False
2011-02-17,66,False
2011-02-18,64,False
2011-02-19,39,False
2011-02-20,34,False
2011-02-21,64,False
2011-02-22,66,False
2011-02-23,67,False
2011-02-24,78,False
2011-02-25,55,False
2011-02-26,45,False
2011-02-27,42,False
2011-02-28,77,False
2011-03-01,81,False
2011-03-02,72,False
2011-03-03,74,False
2011-03-04,70,False
2011-03-05,42,False
2011-03-06,49,False
2011-03-07,63,False
2011-03-08,79,False
2011-03-09,73,False
2011-03-10,67,False
2011-03-11,65,False
2011-03-12,36,False
2011-03-13,36,False
2011-03-14,71,False
2011-03-15,75,False
2011-03-16,60,False
2011-03-17,62,False
2011-03-18,53,False
2011-03-19,38,False
2011-03-20,37,False
2011-03-21,61,False
2011-03-22,72,False
2011-03-23,70,False
2011-03-24,61,False
2011-03-25,67,False
2011-03-26,41,False
2011-03-27,34,False
2011-03-28,75,False
2011-03-29,71,False
2011-03-30,67,False
2011-03-31,66,False
2011-04-01,61,False
2011-04-02,44,False
2011-04-03,32,False
2011-04-04,63,False
2011-04-05,69,False
2011-04-06,72,False
2011-04-07,67,False
2011-04-08,72,False
2011-04-09,32,False
2011-04-10,33,False
2011-04-11,72,False
2011-04-12,71,False
2011-04-13,72,False
2011-04-14,61,False
2011-04-15,65,False
2011-04-16,34,False
2011-04-17,35,False
2011-04-18,66,False
2011-04-19,69,False
2011-04-20,65,False
2011-04-21,65,False
2011-04-22,48,False
2011-04-23,43,False
2011-04-24,32,False
2011-04-25,56,False
2011-04-26,61,False
2011-04-27,58,False
2011-04-28,68,False
2011-04-29,55,False
2011-04-30,41,False
2011-05-01,29,False
2011-05-02,51,False
2011-05-03,64,False
2011-05-04,66,False
2011-05-05,65,False
2011-05-06,64,False
2011-05-07,38,False
2011-05-08,31,False
2011-05-09,70,False
2011-05-10,64,False
2011-05-11,77,False
