date,Check Point Software,isPartial
2017-10-24,0,False
2017-10-25,11,False
2017-10-26,0,False
2017-10-27,60,False
2017-10-28,26,False
2017-10-29,13,False
2017-10-30,34,False
2017-10-31,35,False
2017-11-01,83,False
2017-11-02,12,False
2017-11-03,35,False
2017-11-04,13,False
2017-11-05,0,False
2017-11-06,22,False
2017-11-07,11,False
2017-11-08,0,False
2017-11-09,11,False
2017-11-10,23,False
2017-11-11,0,False
2017-11-12,0,False
2017-11-13,22,False
2017-11-14,11,False
2017-11-15,22,False
2017-11-16,22,False
2017-11-17,46,False
2017-11-18,13,False
2017-11-19,0,False
2017-11-20,22,False
2017-11-21,45,False
2017-11-22,0,False
2017-11-23,23,False
2017-11-24,35,False
2017-11-25,0,False
2017-11-26,13,False
2017-11-27,11,False
2017-11-28,55,False
2017-11-29,22,False
2017-11-30,46,False
2017-12-01,35,False
2017-12-02,13,False
2017-12-03,0,False
2017-12-04,11,False
2017-12-05,11,False
2017-12-06,0,False
2017-12-07,0,False
2017-12-08,24,False
2017-12-09,0,False
2017-12-10,0,False
2017-12-11,33,False
2017-12-12,33,False
2017-12-13,22,False
2017-12-14,0,False
2017-12-15,35,False
2017-12-16,0,False
2017-12-17,0,False
2017-12-18,11,False
2017-12-19,23,False
2017-12-20,23,False
2017-12-21,24,False
2017-12-22,25,False
2017-12-23,14,False
2017-12-24,0,False
2017-12-25,0,False
2017-12-26,25,False
2017-12-27,0,False
2017-12-28,12,False
2017-12-29,37,False
2017-12-30,13,False
2017-12-31,14,False
2018-01-01,41,False
2018-01-02,23,False
2018-01-03,0,False
2018-01-04,0,False
2018-01-05,0,False
2018-01-06,13,False
2018-01-07,13,False
2018-01-08,33,False
2018-01-09,22,False
2018-01-10,33,False
2018-01-11,44,False
2018-01-12,11,False
2018-01-13,12,False
2018-01-14,25,False
2018-01-15,0,False
2018-01-16,21,False
2018-01-17,32,False
2018-01-18,32,False
2018-01-19,46,False
2018-01-20,0,False
2018-01-21,25,False
2018-01-22,21,False
2018-01-23,43,False
2018-01-24,21,False
2018-01-25,33,False
2018-01-26,34,False
2018-01-27,25,False
2018-01-28,12,False
2018-01-29,21,False
2018-01-30,0,False
2018-01-31,11,False
2018-02-01,54,False
2018-02-02,56,False
2018-02-03,12,False
2018-02-04,12,False
2018-02-05,32,False
2018-02-06,43,False
2018-02-07,21,False
2018-02-08,0,False
2018-02-09,0,False
2018-02-10,12,False
2018-02-11,12,False
2018-02-12,11,False
2018-02-13,44,False
