date,Synopsys,isPartial
2011-09-19,54,False
2011-09-20,28,False
2011-09-21,32,False
2011-09-22,51,False
2011-09-23,46,False
2011-09-24,13,False
2011-09-25,49,False
2011-09-26,49,False
2011-09-27,56,False
2011-09-28,50,False
2011-09-29,36,False
2011-09-30,61,False
2011-10-01,22,False
2011-10-02,9,False
2011-10-03,47,False
2011-10-04,71,False
2011-10-05,32,False
2011-10-06,36,False
2011-10-07,34,False
2011-10-08,13,False
2011-10-09,9,False
2011-10-10,39,False
2011-10-11,43,False
2011-10-12,72,False
2011-10-13,46,False
2011-10-14,33,False
2011-10-15,17,False
2011-10-16,26,False
2011-10-17,56,False
2011-10-18,38,False
2011-10-19,41,False
2011-10-20,43,False
2011-10-21,37,False
2011-10-22,17,False
2011-10-23,12,False
2011-10-24,38,False
2011-10-25,34,False
2011-10-26,21,False
2011-10-27,39,False
2011-10-28,7,False
2011-10-29,17,False
2011-10-30,8,False
2011-10-31,35,False
2011-11-01,36,False
2011-11-02,35,False
2011-11-03,60,False
2011-11-04,47,False
2011-11-05,38,False
2011-11-06,21,False
2011-11-07,48,False
2011-11-08,45,False
2011-11-09,42,False
2011-11-10,49,False
2011-11-11,33,False
2011-11-12,21,False
2011-11-13,25,False
2011-11-14,54,False
2011-11-15,31,False
2011-11-16,24,False
2011-11-17,31,False
2011-11-18,36,False
2011-11-19,33,False
2011-11-20,25,False
2011-11-21,27,False
2011-11-22,31,False
2011-11-23,42,False
2011-11-24,44,False
2011-11-25,34,False
2011-11-26,8,False
2011-11-27,33,False
2011-11-28,37,False
2011-11-29,43,False
2011-11-30,79,False
2011-12-01,100,False
2011-12-02,32,False
2011-12-03,29,False
2011-12-04,24,False
2011-12-05,30,False
2011-12-06,34,False
2011-12-07,64,False
2011-12-08,32,False
2011-12-09,40,False
2011-12-10,21,False
2011-12-11,24,False
2011-12-12,34,False
2011-12-13,27,False
2011-12-14,47,False
2011-12-15,31,False
2011-12-16,54,False
2011-12-17,29,False
2011-12-18,25,False
2011-12-19,51,False
2011-12-20,42,False
2011-12-21,36,False
2011-12-22,40,False
2011-12-23,16,False
2011-12-24,14,False
2011-12-25,0,False
2011-12-26,20,False
2011-12-27,40,False
2011-12-28,29,False
2011-12-29,52,False
2011-12-30,19,False
2011-12-31,9,False
2012-01-01,19,False
2012-01-02,15,False
2012-01-03,70,False
2012-01-04,60,False
2012-01-05,27,False
2012-01-06,28,False
2012-01-07,36,False
2012-01-08,27,False
2012-01-09,46,False
2012-01-10,36,False
2012-01-11,29,False
2012-01-12,52,False
2012-01-13,51,False
2012-01-14,12,False
2012-01-15,19,False
2012-01-16,26,False
2012-01-17,32,False
2012-01-18,60,False
2012-01-19,39,False
2012-01-20,27,False
2012-01-21,23,False
2012-01-22,19,False
2012-01-23,48,False
2012-01-24,38,False
2012-01-25,48,False
2012-01-26,45,False
