date,O'Reilly Automotive,isPartial
2014-04-25,0,False
2014-04-26,0,False
2014-04-27,38,False
2014-04-28,32,False
2014-04-29,0,False
2014-04-30,0,False
2014-05-01,0,False
2014-05-02,0,False
2014-05-03,0,False
2014-05-04,0,False
2014-05-05,0,False
2014-05-06,65,False
2014-05-07,32,False
2014-05-08,66,False
2014-05-09,0,False
2014-05-10,0,False
2014-05-11,0,False
2014-05-12,31,False
2014-05-13,64,False
2014-05-14,32,False
2014-05-15,0,False
2014-05-16,100,False
2014-05-17,0,False
2014-05-18,39,False
2014-05-19,64,False
2014-05-20,0,False
2014-05-21,0,False
2014-05-22,0,False
2014-05-23,0,False
2014-05-24,0,False
2014-05-25,0,False
2014-05-26,0,False
2014-05-27,0,False
2014-05-28,0,False
2014-05-29,0,False
2014-05-30,38,False
2014-05-31,0,False
2014-06-01,0,False
2014-06-02,36,False
2014-06-03,35,False
2014-06-04,0,False
2014-06-05,0,False
2014-06-06,0,False
2014-06-07,45,False
2014-06-08,90,False
2014-06-09,0,False
2014-06-10,0,False
2014-06-11,36,False
2014-06-12,0,False
2014-06-13,0,False
2014-06-14,0,False
2014-06-15,0,False
2014-06-16,0,False
2014-06-17,0,False
2014-06-18,0,False
2014-06-19,37,False
2014-06-20,38,False
2014-06-21,45,False
2014-06-22,0,False
2014-06-23,36,False
2014-06-24,0,False
2014-06-25,0,False
2014-06-26,0,False
2014-06-27,0,False
2014-06-28,0,False
2014-06-29,0,False
2014-06-30,37,False
2014-07-01,0,False
2014-07-02,37,False
2014-07-03,0,False
2014-07-04,0,False
2014-07-05,0,False
2014-07-06,45,False
2014-07-07,0,False
2014-07-08,0,False
2014-07-09,0,False
2014-07-10,0,False
2014-07-11,0,False
2014-07-12,0,False
2014-07-13,87,False
2014-07-14,36,False
2014-07-15,0,False
2014-07-16,0,False
2014-07-17,37,False
2014-07-18,0,False
2014-07-19,45,False
2014-07-20,0,False
2014-07-21,36,False
2014-07-22,36,False
2014-07-23,38,False
2014-07-24,0,False
