date,Seagate,isPartial
2014-06-18,73,False
2014-06-19,75,False
2014-06-20,72,False
2014-06-21,71,False
2014-06-22,63,False
2014-06-23,71,False
2014-06-24,72,False
2014-06-25,75,False
2014-06-26,81,False
2014-06-27,68,False
2014-06-28,67,False
2014-06-29,68,False
2014-06-30,77,False
2014-07-01,74,False
2014-07-02,72,False
2014-07-03,72,False
2014-07-04,69,False
2014-07-05,71,False
2014-07-06,64,False
2014-07-07,75,False
2014-07-08,75,False
2014-07-09,70,False
2014-07-10,78,False
2014-07-11,69,False
2014-07-12,64,False
2014-07-13,61,False
2014-07-14,79,False
2014-07-15,73,False
2014-07-16,72,False
2014-07-17,77,False
2014-07-18,74,False
2014-07-19,71,False
2014-07-20,70,False
2014-07-21,80,False
2014-07-22,81,False
2014-07-23,78,False
2014-07-24,78,False
2014-07-25,76,False
2014-07-26,71,False
2014-07-27,72,False
2014-07-28,73,False
2014-07-29,79,False
2014-07-30,73,False
2014-07-31,74,False
2014-08-01,72,False
2014-08-02,74,False
2014-08-03,76,False
2014-08-04,78,False
2014-08-05,84,False
2014-08-06,76,False
2014-08-07,77,False
2014-08-08,72,False
2014-08-09,73,False
2014-08-10,66,False
2014-08-11,82,False
2014-08-12,77,False
2014-08-13,76,False
2014-08-14,77,False
2014-08-15,74,False
2014-08-16,74,False
2014-08-17,72,False
2014-08-18,82,False
2014-08-19,73,False
2014-08-20,82,False
2014-08-21,78,False
2014-08-22,76,False
2014-08-23,71,False
2014-08-24,72,False
2014-08-25,83,False
2014-08-26,81,False
2014-08-27,88,False
2014-08-28,80,False
2014-08-29,81,False
2014-08-30,73,False
2014-08-31,73,False
2014-09-01,73,False
2014-09-02,73,False
2014-09-03,80,False
2014-09-04,71,False
2014-09-05,76,False
2014-09-06,73,False
2014-09-07,65,False
2014-09-08,80,False
2014-09-09,69,False
2014-09-10,74,False
2014-09-11,75,False
2014-09-12,72,False
2014-09-13,69,False
2014-09-14,66,False
2014-09-15,73,False
2014-09-16,73,False
2014-09-17,69,False
2014-09-18,73,False
2014-09-19,66,False
2014-09-20,66,False
2014-09-21,62,False
2014-09-22,70,False
2014-09-23,73,False
2014-09-24,76,False
2014-09-25,68,False
2014-09-26,72,False
2014-09-27,62,False
2014-09-28,58,False
2014-09-29,72,False
2014-09-30,67,False
2014-10-01,71,False
2014-10-02,73,False
2014-10-03,72,False
2014-10-04,68,False
2014-10-05,68,False
2014-10-06,83,False
2014-10-07,76,False
2014-10-08,70,False
2014-10-09,76,False
2014-10-10,83,False
2014-10-11,65,False
2014-10-12,66,False
2014-10-13,76,False
2014-10-14,72,False
2014-10-15,63,False
2014-10-16,71,False
2014-10-17,67,False
2014-10-18,67,False
2014-10-19,66,False
2014-10-20,74,False
2014-10-21,71,False
2014-10-22,75,False
2014-10-23,69,False
2014-10-24,62,False
2014-10-25,70,False
2014-10-26,66,False
2014-10-27,79,False
2014-10-28,74,False
2014-10-29,74,False
2014-10-30,66,False
2014-10-31,73,False
2014-11-01,66,False
2014-11-02,66,False
2014-11-03,72,False
2014-11-04,79,False
2014-11-05,72,False
2014-11-06,72,False
2014-11-07,70,False
2014-11-08,72,False
2014-11-09,73,False
2014-11-10,73,False
2014-11-11,76,False
2014-11-12,76,False
2014-11-13,72,False
2014-11-14,68,False
2014-11-15,74,False
2014-11-16,66,False
2014-11-17,78,False
2014-11-18,74,False
2014-11-19,75,False
2014-11-20,77,False
2014-11-21,80,False
2014-11-22,71,False
2014-11-23,65,False
2014-11-24,78,False
2014-11-25,83,False
2014-11-26,81,False
2014-11-27,85,False
2014-11-28,100,False
2014-11-29,82,False
2014-11-30,75,False
2014-12-01,89,False
